id,body,picture,actor,time_reverse,time,feed_order,post_class,condition1,condition2,condition3,condition4,ZA,AL,RV,SN,ID,ALID_1_control,ALID_2_health effects,ALID_3_social impact,RVID_1_healthy formal,RVID_2_healthy informal,RVID_3_unhealthy formal,RVID_4_unhealthy informal,SNID_1_drinking,SNID_2_drinking myth,SNID_3_ drinking myth intervene,Norm_1,norm_2,Norm_3
113,Saw a little friend on a walk today!,post113.png,kaykay027,-20:59:07,-1:33:49,1,normal,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
150,Ugh right?,LungDamage_Harm_v1.jpg,nickmoree13,-18:11:03,-1:33:49,2,2_health effects,0,1,0,0,0,2,0,0,,,1,,,,,,,,,,,
151,Ugh right? So much for that D1 scholarship huh Nick?,LungDamage_Social_v1.jpg,nickmoree13,-18:11:03,-1:33:49,2,3_social impact,0,0,0,0,0,3,0,0,,,,1,,,,,,,,,,
209,Ugh right? ,controlmessage_02.png,nickmoree13,-18:11:03,-1:33:49,2,1_vaping control,1,0,0,0,0,1,0,0,,1,,,,,,,,,,,,
115,graduated ✌️,eh_post.png,eric_hz,-16:43:47,-2:14:21,3,normal,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
126,Girls just wanna have fun,ash_p1.png,lisabeth111,-14:48:08,-4:51:12,4,3_Drink+M+I,0,0,0,0,0,0,0,3,,,,,,,,,,,1,,,
213,Girls just wanna have fun,ash_p1.png,lisabeth111,-14:48:08,-4:51:12,4,1_Drink ,0,0,0,0,0,0,0,1,,,,,,,,,1,,,,,
214,Girls just wanna have fun,ash_p1.png,lisabeth111,-14:48:08,-4:51:12,4,2_Drink+M,0,0,0,0,0,0,0,2,,,,,,,,,,1,,,,
138,"Leafy greens are loaded with vitamins! Check out all of these leafy greens. This salad has lettuce, spinach, and arugula. We, here at the @HealthForEveryone, added some nuts for an extra crunch. Yum. 

#yum #foodie #salads #veggies",h4e_salad.png,healthyppl,-12:30:29,-5:49:25,5,1_healthy formal,1,0,0,0,0,0,1,0,,,,,1,,,,,,,,,
139,"Simple and delicious! This salad was amazing. I am so happy to be an @HealthForEveryone Ambassador. Thanks for the suggestion. I loved trying out all of the different leafy greens. Try a new salad recipe this week. 

#yum #foodie #salads #veggies",h4e_salad.png,turnerj,-12:30:29,-5:49:25,5,2 _healthy informal,0,1,0,0,0,0,2,0,,,,,,1,,,,,,,,
144,"The @HealthyHeartsOrganization has partnered with our neighborhood ice cream shop to encourage you to make your taste buds happy today! Our favorite sweet treat is a good old fashion brownie sundae with whipped cream and a cherry on top. 

#icecream #brownies #sogood",hho_icecream.png,heartsorg,-12:30:29,-5:49:25,5,3_unhealthy formal,0,0,1,0,0,0,3,0,,,,,,,1,,,,,,,
145,"I’ve partnered with the @HealthyHeartsOrganization to encourage you to do something that makes you happy today. If you know me, you know I love desserts! I’ll be enjoying a good old fashion brownie sundae with all of the toppings this week.

#icecream #brownies #sogood",hho_icecream.png,ballerj,-12:30:29,-5:49:25,5,4_unhealthy informal,0,0,0,1,0,0,4,0,,,,,,,,1,,,,,,
116,first place 💪,ng_post.png,nathan89,-11:54:52,-6:35:31,6,normal,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
152,You are what you vape 🤷‍♀️🤷‍♀️,Chemicals_Harm_v1.jpg,marchii2,-10:37:14,-7:35:31,7,2_health effects,0,1,0,0,0,2,0,0,,,1,,,,,,,,,,,
153,You are what you vape 🤷‍♀️🤷‍♀️,Chemicals_Social_v1.jpg,marchii2,-10:37:14,-7:35:31,7,3_social impact,0,0,1,0,0,3,0,0,,,,1,,,,,,,,,,
210,#clean,controlmessage_01.png,marchii2,-10:37:14,-7:35:31,7,1_vaping control,1,0,0,0,0,1,0,0,,1,,,,,,,,,,,,
140,"This tastes as great as it looks! And check out all of the nutrients on the plate! The @HealthyHeartsOrganization recommends that you try to eat food from a variety of food groups. Here we have vegetables, protein, and more.  

#burritobowl #hearthealth #foodgroups",hho_foodplate.png,heartsorg,-9:52:04,-8:00:04,8,1_healthy formal,1,0,0,0,0,0,1,0,,,,,1,,,,,,,,,
141,"Look at my burrito bowl! It is delicious. I’ve partnered with the @HealthyHeartsOrganization to bring you some new tasty meals. Who knew cooking could be this fun? Try it out.

#burritobowl #hearthealth #foodgroups",hho_foodplate.png,ballerj,-9:52:04,-8:00:04,8,2 _healthy informal,0,1,0,0,0,0,2,0,,,,,,1,,,,,,,,
146,"Is it #wingWednesday yet? We decided to spice things up and try a new flavor but BBQ was the staff favorite at @HealthForEveryone. You can’t go wrong with wings.

#wingWednesday #yum #foodie",h4e_wings.png,healthyppl,-9:52:04,-8:00:04,8,3_unhealthy formal,0,0,1,0,0,0,3,0,,,,,,,1,,,,,,,
147,You are what you vape 🤷‍♀️🤷‍♀️,h4e_wings.png,turnerj,-9:52:04,-8:00:04,8,4_unhealthy informal,0,0,0,1,0,0,4,0,,,,,,,,1,,,,,,
117,magic school bus,jh_post1.png,jhalll,-8:00:04,-9:52:04,9,normal,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
127,Girls just wanna have fun,ash_p2.png,claire_bouf,-7:35:31,-10:37:14,10,3_Drink+M+I,0,0,1,0,0,0,0,3,,,,,,,,,,,1,,,
