id,body,actor,reply,time,class
1,Charleston is one of my favorite cities! Recognized this street instantly,debby_sims,1,0:06,
2,Happy to have these buildings brighten my day just a bit,BeatDaTrice,1,0:44,
3,Sister time is unbeatable!!,priscilla_lu,1,0:49,
4,Well this is making me miss summer and warm weather ):,angeletti,1,0:43,
5,My goal in life is to live in a pink house. That is all.,laura_tran,1,0:02,
6,Love you girls!,JuniperQ,1,5:10,
7,The Old Well has always been my favorite place on campus,janereeed,2,0:51,
8,We are lucky to go to such a school,ian7298,2,0:44,
9,"College and life might be different now, but the sun keeps shining!!",jupiterpride,2,0:36,
10,Can't wait for the day this view is populated with students!,KamiT,2,0:29,
11,It really is always a great day to be a Tarheel...and go to hell Duke!,kingsaqueen,2,0:28,
12,"Well, I know what I'm doing today. Going on a walk!",br.richards,2,0:08,
13,Spring has sprung!,juliag26,2,0:17,
14,Stay in shape girl!,MannyDL34,3,0:02,
15,Looking forward to next season,sam3872,3,0:25,
16,lax girls>>>>,james_c,3,0:28,
17,hey is that my scrunchie?,janielee,3,0:50,
18,Let's play sometime!,nickmoree13,3,4:58,
19,This was so much fun! We have to go again next year,sweetcakers,4,0:08,
20,Mulan vibes,angeletti,4,0:22,
21,omg I wanted to go to that,aliu,4,0:38,
22,I wonder if they'd let you ride the dragon...,JuniperQ,4,0:46,
23,Pretty lights!,honeylove,4,4:14,
24,"Catchin rays, always a good time",sam3872,5,0:31,
25,Can't wait to keep this thing rollin.,greatnathan_12,5,0:15,
26,Nibblin on sponge cake...,tarakha,5,0:13,
27,Watchin the sun bake,debby_sims,5,0:17,
28,Did yall find your lost shaker of salt?,owen_the_oven,5,4:16,
29,Super stoked we were able to pull this trip off.,robeats,6,0:38,
30,Gotta do this thing again.,laurenchou3,6,0:02,
31,Shoutouts to Sean's aunt for the place.,james_c,6,0:15,
32,Great to have you out.,sofiaberger,6,0:53,
33,If only we could get some of this weather in Chapel Hill!,janereeed,6,1:21,
34,So cute!,laurenchou3,7,0:13,
35,"OMG, where did you find it?",JuniperQ,7,0:17,
36,So jealous!!,sweetpea,7,0:09,
37,"How many do you have now, LOL?",ria_camiii,7,0:02,
38,Adorable!,sofiaberger,7,1:25,
39,Congratulations!,debby_sims,8,0:43,
40,What a fun rivalry!,anabohnana,8,0:04,
41,Good luck at college!,priscilla_lu,8,0:55,
42,We will miss you guys.,dariank,8,0:16,
43,Go heels!,KamiT,8,4:44,
44,So cute!!,sweetcakers,9,0:52,
45,Our new pledge class lookin' good ;),kdlee,9,0:57,
46,Obsessed with Lydia's shoes! Where are they from??,bradlee,9,0:07,
47,Two pretty best friends,juliag26,9,0:28,
48,Where did you get your sweater? Love it!,Harry_cost1991,9,6:27,
49,What drink is that??,livymilly,10,0:14,
50,"Ugh, so jealous.",daharms,10,0:06,
51,Lucky!!! Miss you!,sweetpea,10,0:58,
52,This weather >>,karkarw,10,0:37,
53,Aren't you supposed to be in class? ;),lukas_m,10,3:23,
54,Lookin good my guy,jhalll,11,0:23,
55,Roll Heels,eric_hz,11,0:58,
56,Beautiful content,honeylove,11,0:05,
57,Natty bound,br.richards,11,0:34,
58,yessirr,jcoop,11,0:06,
59,😎,robeats,11,6:40,
60,My favorite people,robeats,12,0:19,
61,Living it up,anabohnana,12,0:03,
62,Such a great concert,juliag26,12,0:23,
63,Fits look fire,kaykay027,12,0:15,
64,I love Mt. Joy!,sweetcakers,12,3:20,
65,you've got this!,sam3872,13,0:04,
66,I believe in u <3,kdlee,13,0:27,
67,me too pal :/,sofiaberger,13,0:49,
68,cute plushie tho,BeatDaTrice,13,0:18,
69,maybe some homemade cookies will help <3 visit soon!,kikokano,13,1:06,
70,we're all the same person,jupiterpride,14,0:41,
71,I'm in this photo and I don't like it,janielee,14,0:16,
72,glad to know i'm not the only one LMAO,owen_the_oven,14,0:10,
73,😂😂😂,aliu,14,0:36,
74,been there lol,livymilly,14,0:42,
75,felt that 💀,eric_hz,14,3:06,
76,I can see myself swimming in out right now,greatnathan_12,15,0:46,
77,Big flex!!!,br.richards,15,0:49,
78,Where is this? I need to know NOW!,alysssa_b,15,0:35,
79,Now that's a vacation,honeylove,15,0:51,
80,Can I come next time? Serious question.,dariank,15,6:36,
81,Wow thank you for blessing me with this I love it,janielee,16,0:52,
82,You just made me extremely hungry I hope you're happy,debby_sims,16,0:20,
83,Trying to figure out if I would have the guts to try that,robeats,16,0:02,
84,Need that in my life RIGHT NOW,lucyinurdreams,16,3:10,
85,this was needed,anabohnana,17,0:12,
86,mental health x 100,sweetcakers,17,0:29,
87,Pizza or french fries,kaykay027,17,1:00,
88,I LOVE Y'ALL,sweetpea,17,0:59,
89,take me back,jhalll,17,3:06,
90,I'm crying,MannyDL34,18,0:12,
91,miss you more,pr1ncessdiana,18,0:37,
92,I'm so sad. Why did we peak here.,sam3872,18,0:22,
93,WINB <3,vilbert,18,0:14,
94,run it backkk,_walkwoman_,18,6:36,
95,ME TOO!,ian7298,19,1:00,
96,So cute!,SamTHEMAN,19,0:45,
97,Love you guys,snowbird,19,0:19,
98,Counting down the days!!,nathan89,19,0:46,
99,I wish I was at the beach :)),caffeinated,19,3:10,
100,I was on the quad today too!,Harry_cost1991,20,0:52,
101,Cute planner!,debby_sims,20,0:11,
102,GDTBATH,kikokano,20,0:46,
103,Got a sunburn in february #thanksnc,alysssa_b,20,0:35,
104,Pretty!!!,jupiterpride,20,4:53,
105,OMG so cuteeee 😊😊😊,honeylove,21,0:52,
106,I love the bracelets!,debby_sims,21,0:36,
107,Andrew my man!,jcoop,21,0:11,
108,Tell me where to get those right now,kikokano,21,0:09,
109,OMG r u 2 together? That's so cute! 😍,a_beatles_fan,21,2:01,
110,Ummm sir how did you get your hands on a giraffe 🤔,suzards,22,0:49,
111,"I'm in love with it, buy me 10",janereeed,22,0:55,
112,OMG What's his name,pr1ncessdiana,22,0:09,
113,How did you get into the zoo area thooo,robeats,22,0:08,
114,Try to ride it 😂,pomipomi,22,6:44,
115,Awwwh!,owen_the_oven,23,0:40,
116,Look at that smile!,priscilla_lu,23,0:39,
117,#BlackLove 🤎🤎,davidplayshockey,23,0:11,
118,Black is beautiful!!,snowbird,23,0:54,
119,OMG! Where did you find this?!,SamTHEMAN,23,0:24,
120,It's the love and affection for me 😭,karkarw,23,0:46,
121,LOVE THIS 👏🏿👏🏿,NoahM1121,23,4:02,
122,This looks good 😋,pomipomi,24,0:01,
123,Send me the recipe...ASAP!!!,lucyinurdreams,24,0:11,
124,You can't even cook 😂,KatieeeM,24,0:44,
125,Where's the rice? 👀👀,jupiterpride,24,0:40,
126,I want a plate,honeylove,24,0:51,
127,Lol now I want shrimp!,juliag26,24,0:54,
128,You're cooking the next time I see you 👊🏿,nathan89,24,3:02,
129,I love Campus Health! They are always so nice when I go in for my appointments.,ria_camiii,25,0:33,
130,How do I make appointments?,eric_hz,25,3:22,
131,I’m new to this app but I just wanted to say that I am happy that you are doing well!,ededdneddy,26,0:03,
132,Congrats on your A! You go Sarah!,a_beatles_fan,26,2:07,
133,so cute!,sweetcakers,27,0:48,
134,this is abuse,livymilly,27,0:56,
135,meow,ArchiesAdventures,27,0:36,
136,looks like he needs a drink,br.richards,27,0:42,
137,what a little baby,mewranda,27,0:02,
138,paws out,marchii2,27,0:24,
139,sweet tile in the background,janielee,27,0:30,
